"Name";"Size";"ID";"Source";"Color"
"Drow Inquisitor";"M";NA;NA;NA
"Drow Lolth's Sting";"M";NA;NA;NA
"Drow Mage";"M";NA;NA;NA
"Drow Matriarch";"M";NA;NA;NA
"Drow Matron Mother";"M";NA;NA;NA
"Drow Mech (By u serpentine19)";"L";NA;NA;NA
"Drow Novice Mage";"M";NA;NA;NA
"Drow Poisoner";"M";NA;NA;NA
"Drow Priestess";"M";NA;NA;NA
"Drow Priestess of Lolth";"M";NA;NA;NA
"Drow Raider";"M";NA;NA;NA
"Drow Raider (Lesser)";"M";NA;NA;NA
"Drow Rogue";"M";NA;NA;NA
"Drow Scourge";"M";NA;NA;NA
"Drow Sergeant";"M";NA;NA;NA
"Drow Shadowblade";"M";NA;NA;NA
"Drow Skirmisher";"M";NA;NA;NA
"Drow Soldier";"M";NA;NA;NA
"Drow Spore Servant";"M";NA;NA;NA
"Drow Stalker";"M";NA;NA;NA
"Drowned Ascetic";"M";NA;NA;NA
"Drowned Assassin";"M";NA;NA;NA
"Drowned Blade";"M";NA;NA;NA
"Drowned Dead";"M";NA;NA;NA
"Drowned Maiden";"M";NA;NA;NA
"Drowned Master";"M";NA;NA;NA
"Drowner";"M";NA;NA;NA
"Druid";"M";NA;NA;NA
"Druid Adventurer";"M";NA;NA;NA
"Druid Hero";"M";NA;NA;NA
"Druid Initiate";"M";NA;NA;NA
"Druid Legend";"M";NA;NA;NA
"Druid of the Earthmother";"M";NA;NA;NA
"Druid of the Land (Arctic)";"M";NA;NA;NA
"Druid of the Land (Coast)";"M";NA;NA;NA
"Druid of the Land (Desert)";"M";NA;NA;NA
"Druid of the Land (Forest)";"M";NA;NA;NA
"Druid of the Land (Grassland)";"M";NA;NA;NA
"Druid of the Land (Mountain)";"M";NA;NA;NA
"Druid of the Land (Swamp)";"M";NA;NA;NA
"Druid of the Land (Underdark)";"M";NA;NA;NA
"Druid of the Old Ways";"M";NA;NA;NA
"Druid, Legendary";"M";NA;NA;NA
"Druj Claw";"T";NA;NA;NA
"Druj Eye";"T";NA;NA;NA
"Druj Head";"T";NA;NA;NA
"Drunken Master";"M";NA;NA;NA
"Dryad";"M";"56b95260-d19c-4441-b39c-7846c5fabae7";"";"TRUE"
"Dryad Briar Witch";"M";NA;NA;NA
"Dryad Witch of the Fey";"M";NA;NA;NA
"Du'ulora";"L";NA;NA;NA
"Du'ulora Inspired Knight";"M";NA;NA;NA
"Duelist";"M";NA;NA;NA
"Duergar";"M";"7e5fb9d9-8290-1051-74b9-7ea68f64fa4e";"https://talespire.thunderstore.io/package/isopropanol/MonsterD/";"FALSE"
"Duergar Artillerist";"M";NA;NA;NA
"Duergar Battle Smith";"M";NA;NA;NA
"Duergar Captain";"M";NA;NA;NA
"Duergar Champion";"M";NA;NA;NA
"Duergar Darkhaft";"M";NA;NA;NA
"Duergar Despot";"M";NA;NA;NA
"Duergar Hammerer";"M";NA;NA;NA
"Duergar Heavy Sniper";"M";NA;NA;NA
"Duergar High Priest";"M";NA;NA;NA
"Duergar Inquisitor";"M";NA;NA;NA
"Duergar Kavalrachni";"M";NA;NA;NA
"Duergar Keeper of the Flame";"M";NA;NA;NA
"Duergar Mind Master";"M";NA;NA;NA
"Duergar Priest";"M";NA;NA;NA
"Duergar Screamer";"M";NA;NA;NA
"Duergar Sergeant";"M";NA;NA;NA
"Duergar Slavemaster";"M";NA;NA;NA
"Duergar Soulblade";"M";NA;NA;NA
"Duergar Spore Servant";"M";NA;NA;NA
"Duergar Spy";"M";NA;NA;NA
"Duergar Stone Guard";"M";NA;NA;NA
"Duergar Warlord";"M";NA;NA;NA
"Duergar Xarrorn";"M";NA;NA;NA
"Duke Thalamra Vanthampur";"M";NA;NA;NA
"Duke Zalto";"H";NA;NA;NA
"Dullahan";"L";NA;NA;NA
"Dum-Dum Goblin";"S";NA;NA;NA
"Dune Locust Hunter";"M";NA;NA;NA
"Dune Locust Queen";"H";NA;NA;NA
"Dune Locust Sandhorrors";"L";NA;NA;NA
"Dune Mimic";"H";NA;NA;NA
"Dune Reaper Matriarch";"L";NA;NA;NA
"Dune Reaper Shriek";"M";NA;NA;NA
"Dune Stalker";"L";NA;NA;NA
"Dunefish Swarm";"L";NA;NA;NA
"Dunewalker Slitherin";"M";NA;NA;NA
"Duodrone";"M";"6cef2244-7163-ed0f-3dcd-cff4eafec5c9";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Modrons_Collection/";"TRUE"
"Durnan";"M";"7fe0724b-3040-51e4-f1bf-6e12ddaa3840";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Waterdeep_Dragon_Heist/";"TRUE"
"Durnn";"M";NA;NA;NA
"Dusk Hag";"M";NA;NA;NA
"Duskthorn Dryad";"M";NA;NA;NA
"Dust Digger";"L";NA;NA;NA
"Dust Elemental Myrmidon";"M";NA;NA;NA
"Dust Goblin";"S";NA;NA;NA
"Dust Goblin Chieftain";"S";NA;NA;NA
"Dust Mephit";"S";NA;NA;NA
"Dustlet";"T";NA;NA;NA
"Duvessa Shane";"M";NA;NA;NA
"Dvarapala";"H";NA;NA;NA
"Dwarf";"M";NA;NA;NA
"Dwarf Conscript";"M";NA;NA;NA
"Dwarf Hound";"M";NA;NA;NA
"Dwarf Prospectors";"M";NA;NA;NA
"Dwarf Sunpriest";"M";NA;NA;NA
"Dwarf War Chief";"M";NA;NA;NA
"Dwarven Ringmage";"M";NA;NA;NA
"Dybbuk";"M";NA;NA;NA
"Dyrrn";"M";NA;NA;NA
"Dzaan";"M";"cb14870e-63de-cc39-7610-0a3e0ea15f2b";"https://talespire.thunderstore.io/package/Kitetsu/Kitetsu_Icewind_Dale_NPC_Vol01/";"TRUE"
"Dzaan's Simulacrum";"M";"61fb068d-0129-0c90-fe70-4c06d0cbb0dc";"https://talespire.thunderstore.io/package/Kitetsu/Kitetsu_Icewind_Dale_NPC_Vol01/";"TRUE"
"E'Inid Rilyn'Lyl";"M";NA;NA;NA
"Eadochas";"M";NA;NA;NA
"Eagle";"S";NA;NA;NA
"Eagle Totem Barbarian";"M";NA;NA;NA
"Eala";"S";NA;NA;NA
"Earth Bender";"M";NA;NA;NA
"Earth Elemental";"L";"66495266-e4d9-4ca2-afc7-9548b923dbb4";"";"TRUE"
"Earth Elemental Myrmidon";"M";NA;NA;NA
"Earth Elemental, Huge";"H";"66495266-e4d9-4ca2-afc7-9548b923dbb4";"";"TRUE"
"Earth Elemental, Medium";"M";"66495266-e4d9-4ca2-afc7-9548b923dbb4";"";"TRUE"
"Earth Mephit";"S";NA;NA;NA
"Earth Spirit, American Indian's Avatar";"M";NA;NA;NA
"Earthquake Dragon Wyrmling";"M";NA;NA;NA
"Easnadh Huntsman";"M";NA;NA;NA
"Eater of Dust (Yakat-Shi)";"M";NA;NA;NA
"Eater of Hope";"L";NA;NA;NA
"Eblis";"M";NA;NA;NA
"Ebondeath";"M";NA;NA;NA
"Echo";"M";NA;NA;NA
"Ecstatic Bloom";"H";NA;NA;NA
"Ectoplasm";"L";NA;NA;NA
"Edimmu";"M";NA;NA;NA
"Edjet";"M";NA;NA;NA
"Edjet Initiate";"M";NA;NA;NA
"Edvin, the Crimson Curator";"M";NA;NA;NA
"Edwin Odesseiron";"M";NA;NA;NA
"Eel Hound";"M";NA;NA;NA
"Efreet";"L";NA;NA;NA
"Efreet Cinderlord";"L";NA;NA;NA
"Efreet Fireblade";"L";NA;NA;NA
"Efreet Pyresinger";"L";NA;NA;NA
"Efreeti";"L";"de9921fe-d860-c346-1580-c77c75aa69d9";"https://talespire.thunderstore.io/package/isopropanol/MonsterE/";"FALSE"
"Efreeti (Fire Genie)";"L";NA;NA;NA
"Efreeti Cinderlord";"L";NA;NA;NA
"Efreeti Sultan";"H";NA;NA;NA
"Egg Hunter Adult";"S";NA;NA;NA
"Egg Hunter Hatchling";"T";NA;NA;NA
"Egret Harpy";"M";NA;NA;NA
"Eidolon";"M";"751b3b77-4337-f7b4-e372-efdd693ad9f1";"https://talespire.thunderstore.io/package/isopropanol/MonsterE/";"FALSE"
"Eigeron's Ghost";"H";NA;NA;NA
"Einherjar";"M";NA;NA;NA
"Ekaterina Berezova";"M";NA;NA;NA
"Ekaterina Dilisnya";"M";NA;NA;NA
"Ekhidna";"M";NA;NA;NA
"Ekimmara";"L";NA;NA;NA
"Ekolid";"S";NA;NA;NA
"Eladrin Mirage Adept";"M";NA;NA;NA
"Eladrin Veiled Warrior";"M";NA;NA;NA
"Eladrin White Lady";"M";NA;NA;NA
"Eladrin Windwalker";"M";NA;NA;NA
"Elder Air Elemental";"H";NA;NA;NA
"Elder Arrowhawk";"L";NA;NA;NA
"Elder Black Guard Drake";"L";NA;NA;NA
"Elder Black Pudding";"H";NA;NA;NA
"Elder Blue Guard Drake";"L";NA;NA;NA
"Elder Brain";"L";NA;NA;NA
"Elder Brain Dragon";"G";NA;NA;NA
"Elder Dinosaur";"G";NA;NA;NA
"Elder Dinosaur (Etali, Primal Storm)";"G";NA;NA;NA
"Elder Dinosaur (Ghalta, Primal Hunger)";"G";NA;NA;NA
"Elder Dinosaur (Nezahal, Primal Tide)";"G";NA;NA;NA
"Elder Dinosaur (Tetzimoc, Primal Death)";"G";NA;NA;NA
"Elder Dinosaur (Zacama, Primal Calamity)";"G";NA;NA;NA
"Elder Dinosaur (Zetalpa, Primal Dawn)";"G";NA;NA;NA
"Elder Earth Elemental";"H";NA;NA;NA
"Elder False Hydra";"G";NA;NA;NA
"Elder Fire Elemental";"H";NA;NA;NA
"Elder Frost Salamander";"H";NA;NA;NA
"Elder Ghost Boar";"H";NA;NA;NA
"Elder Gray Render";"H";NA;NA;NA
"Elder Green Guard Drake";"L";NA;NA;NA
"Elder Maladrix";"M";NA;NA;NA
"Elder Oblex";"H";NA;NA;NA
"Elder Orb";"L";NA;NA;NA
"Elder Red Guard Drake";"L";NA;NA;NA
"Elder Redcap";"S";NA;NA;NA
"Elder Shadow Drake";"L";NA;NA;NA
"Elder Tempest";"G";NA;NA;NA
"Elder Tojanida";"L";NA;NA;NA
"Elder Water Elemental";"H";NA;NA;NA
"Elder White Guard Drake";"L";NA;NA;NA
"Elder Xorn";"L";NA;NA;NA
"Eldrazi Scion";"L";NA;NA;NA
"Eldritch Assassin";"M";NA;NA;NA
"Eldritch Knight";"M";NA;NA;NA
"Eldritch Lich";"M";NA;NA;NA
"Eldritch Naga";"L";NA;NA;NA
"Eldritch Ooze";"L";NA;NA;NA
"Eldritch Scarecrow";"M";NA;NA;NA
"Electrum Drake";"M";NA;NA;NA
"Eleinomae";"M";NA;NA;NA
"Elemental Defender";"M";NA;NA;NA
"Elemental Locus";"G";NA;NA;NA
"Elemental Spirit";"M";NA;NA;NA
"Elemental Weird Air";"L";NA;NA;NA
"Elemental Weird Earth";"L";NA;NA;NA
"Elemental Weird Fire";"L";NA;NA;NA
"Elemental Weird Water";"L";NA;NA;NA
"Elementalist";"M";NA;NA;NA
"Elephant";"H";"2dc36c64-c737-94e4-5eea-3cf44ce3eef5";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Beasts_Collection/";"TRUE"
"Elf Dune Strider";"M";NA;NA;NA
"Elf Peddler";"M";NA;NA;NA
"Elf Raid Leader";"M";NA;NA;NA
"Elfmarked Human";"M";NA;NA;NA
"Eliana d'Vadalis";"M";NA;NA;NA
"Elise";"M";NA;NA;NA
"Elite Arcane Archer";"M";NA;NA;NA
"Elite Arrester";"M";NA;NA;NA
"Elite Elven Archer";"M";NA;NA;NA
"Elite Kobold";"S";NA;NA;NA
"Elite Mageslayer";"M";NA;NA;NA
"Elite Monster Slayer";"M";NA;NA;NA
"Elite Sharpshooter";"M";NA;NA;NA
"Elite War Caster";"M";NA;NA;NA
"Elite War Chanter";"M";NA;NA;NA
"Elizar Dryflagon";"M";NA;NA;NA
"Elk";"L";"4a32bbc4-f31f-4db9-b917-a211c7705e3f";"";"TRUE"
"Elkhorn";"M";"d735d947-148b-4ebe-a47d-f3a68bc53c64";"https://talespire.thunderstore.io/package/KaneOfMars/Valors_Call_Pack/";"TRUE"
"Elophar";"L";NA;NA;NA
"Elusa Hound";"M";NA;NA;NA
"Elvish Veteran Archer";"M";NA;NA;NA
"Elzerina Cassalanter";"S";NA;NA;NA
"Emerald Claw Knight";"M";NA;NA;NA
"Emerald Claw Marshal";"M";NA;NA;NA
"Emerald Claw Sergeant";"M";NA;NA;NA
"Emerald Claw Soldier";"M";NA;NA;NA
"Emerald Dragon Wyrmling";"M";NA;NA;NA
"Emerald Enclave Scout";"M";NA;NA;NA
"Emerald Eye";"T";NA;NA;NA
"Emerald Greatwyrm";"G";NA;NA;NA
"Emerald Order Cult Leader";"M";NA;NA;NA
"Emil Toranescu";"";NA;NA;NA
"Emperor's Hyena";"M";NA;NA;NA
"Emperor of the Ghouls";"M";NA;NA;NA
"Emperor Stag";"L";NA;NA;NA
"Empty Cloak";"M";NA;NA;NA
"Empusa";"M";NA;NA;NA
"Empyrean";"H";NA;NA;NA
"Empyrean Stag";"L";NA;NA;NA
"Encephalon Gorger";"M";NA;NA;NA
"Enchanter";"M";NA;NA;NA
"Enchanter Wizard";"M";NA;NA;NA
"Endelyn Moongrave";"M";NA;NA;NA
"Enforcer of dis";"L";NA;NA;NA
"Engineer";"S";NA;NA;NA
"Enormous Carrion Crawler";"H";NA;NA;NA
"Enticer";"M";NA;NA;NA
"Entropus";"L";NA;NA;NA
"Enveloper of the Innocent";"L";NA;NA;NA
"Envy";"L";NA;NA;NA
"Eo Ashmajiir";"M";NA;NA;NA
"Eonic Drifter";"M";NA;NA;NA
"Eonic Savant";"M";NA;NA;NA
"Equiceph";"L";NA;NA;NA
"Equiceph Raidleader";"L";NA;NA;NA
"Equinal";"L";NA;NA;NA
"Erdlu";"M";NA;NA;NA
"Erina Defender";"S";NA;NA;NA
"Erina Scrounger";"S";NA;NA;NA
"Erinyes";"M";"38a3c7d9-2130-70f4-153e-b06c8d797fd7";"https://talespire.thunderstore.io/package/isopropanol/MonsterE/";"FALSE"
"Erinyes (Furies)";"M";NA;NA;NA
"Erinyes Dread Champion";"M";NA;NA;NA
"Erinyes Seducer";"M";NA;NA;NA
"Erinyes Vanguard";"M";NA;NA;NA
"Erinyes, enhanced";"M";"38a3c7d9-2130-70f4-153e-b06c8d797fd7";"https://talespire.thunderstore.io/package/isopropanol/MonsterE/";"FALSE"
"Erky Timbers";"M";NA;NA;NA
"Ernst Larnak";"M";NA;NA;NA
"Eshaedra, Old Blue Dragon";"H";NA;NA;NA
"Esher Kovalchuck";"M";NA;NA;NA
"Esthetic";"G";NA;NA;NA
"Eternal Flame Guardian";"M";NA;NA;NA
"Eternal Flame Priest";"M";NA;NA;NA
"Eternal Hunter";"M";NA;NA;NA
"Ettercap";"M";"d5b6d7f0-4dad-f63f-63f6-8e7dcba32ce8";"https://talespire.thunderstore.io/package/ScottCross/Scotts_Ettercap_Pack/";"TRUE"
"Ettercap Foreststalker";"M";NA;NA;NA
"Ettercap Lurker";"M";NA;NA;NA
"Ettercap Spiderherd";"M";NA;NA;NA
"Ettercap Spidermaster";"L";NA;NA;NA
"Ettin";"L";"14fa30bf-23e9-4aa3-8bd8-58bb6f0750ee";"";"TRUE"
"Ettin Berserker";"L";NA;NA;NA
"Ettin Bruiser";"L";NA;NA;NA
"Ettin Mummy";"L";NA;NA;NA
"Ettin Shaman";"L";NA;NA;NA
"Ettin Skeleton";"L";NA;NA;NA
"Ettin Vanguard";"L";NA;NA;NA
"Ettin Witch Doctor";"L";NA;NA;NA
"Ettin Wrath Chanter";"L";NA;NA;NA
"Ettin Zombie";"L";NA;NA;NA
"Eunuch";"M";NA;NA;NA
"Eunuch Patriarch";"L";NA;NA;NA
"Euphoric Imp";"T";NA;NA;NA
"Eurynomus the Corpse Eater";"L";NA;NA;NA
"Evil Doll";"T";NA;NA;NA
"Evil Mage";"M";NA;NA;NA
"Evistro";"M";NA;NA;NA
"Evoker";"M";NA;NA;NA
"Evoker Wizard";"M";NA;NA;NA
"Execrable Shrub";"M";NA;NA;NA
"Exethanter";"";NA;NA;NA
"Expeditious Messenger";"T";NA;NA;NA
"Experimenter";"M";NA;NA;NA
"Expert";"M";NA;NA;NA
"Exploding Toad";"T";NA;NA;NA
"Exul";"L";NA;NA;NA
"Eye Catcher";"S";NA;NA;NA
"Eye Golem";"L";NA;NA;NA
"Eye Monger";"L";NA;NA;NA
"Eye of Fear and Flame";"M";NA;NA;NA
"Eye of Flame";"L";NA;NA;NA
"Eye of Frost";"L";NA;NA;NA
"Eye of Gulguthra";"L";NA;NA;NA
"Eye of the Deep";"M";NA;NA;NA
"Eye of the Gods";"S";NA;NA;NA
"Eye Slime";"M";NA;NA;NA
"Eye Tyrant";"H";NA;NA;NA
"Eyedrake";"L";NA;NA;NA
"Eyewing";"L";NA;NA;NA
"Ezmerelda d'Avenir";"M";NA;NA;NA
"F'yorl";"";NA;NA;NA
"Fabricator";"L";NA;NA;NA
"Faceless";"L";NA;NA;NA
"Faceless Wanderer";"M";NA;NA;NA
"Faces of the Great";"H";NA;NA;NA
"Faerie Dragon (Blue)";"T";NA;NA;NA
"Faerie Dragon (blue, green, indigo, or violet)";"T";NA;NA;NA
"Faerie Dragon (Green)";"T";NA;NA;NA
"Faerie Dragon (Indigo)";"T";NA;NA;NA
"Faerie Dragon (Orange)";"T";NA;NA;NA
"Faerie Dragon (orange, red or yellow)";"T";NA;NA;NA
"Faerie Dragon (Red)";"T";NA;NA;NA
"Faerie Dragon (Violet)";"T";NA;NA;NA
"Faerie Dragon (Yellow)";"T";NA;NA;NA
"Faerl";"M";NA;NA;NA
"Fair one";"M";NA;NA;NA
"Faith Seeker";"M";NA;NA;NA
"Faithless Knight";"M";NA;NA;NA
"Fala Lefaliir";"M";NA;NA;NA
"Falcon the Hunter";"M";NA;NA;NA
"Faldorn";"M";NA;NA;NA
"Fallen angel";"M";NA;NA;NA
"Fallen Angel";"M";NA;NA;NA
"Fallen Couatl";"M";NA;NA;NA
"Fallera";"M";NA;NA;NA
"False Hydra";"H";"cae783f8-2e31-39fd-f985-b858c0d15e50";"https://talespire.thunderstore.io/package/Wulfstahn/Hydra/";"TRUE"
"False Hydra Larva";"T";NA;NA;NA
"False Hydra Pupa";"M";NA;NA;NA
"False Lover";"M";NA;NA;NA
"Falsifier Fog";"H";NA;NA;NA
"Falstaff";"M";NA;NA;NA
"Fan Dancer";"M";NA;NA;NA
"Fane Spirit";"M";NA;NA;NA
"Fang of the Great Wolf";"L";NA;NA;NA
"Fanged Sea Serpent";"L";NA;NA;NA
"Far Darrig";"S";NA;NA;NA
"Far Dorocha";"M";NA;NA;NA
"Far Wanderer";"M";NA;NA;NA
"Fastieth";"M";NA;NA;NA
"Fate Eater";"M";NA;NA;NA
"Father Llymic";"G";NA;NA;NA
"Fathomer";"M";NA;NA;NA
"Fatling (Fulthis Maruk)";"L";NA;NA;NA
"Faun";"M";NA;NA;NA
"Favored Adult Dragon of Tiamat";"H";NA;NA;NA
"Favored Spawn of Kyuss";"M";NA;NA;NA
"Favored Young Dragon of Tiamat";"L";NA;NA;NA
"Favoured Chosen";"M";NA;NA;NA
"Fear";"L";NA;NA;NA
"Fear Guard";"M";NA;NA;NA
"Fear Liath";"L";NA;NA;NA
"Fear Smith";"M";NA;NA;NA
"Feasting";"T";NA;NA;NA
"Feasting Swarm";"M";NA;NA;NA
"Feathergale Knight";"M";NA;NA;NA
"Felid Dragon";"H";NA;NA;NA
"Felidar";"L";NA;NA;NA
"Fell Troll";"H";NA;NA;NA
"Fellforged";"M";NA;NA;NA
"Felugon";"M";NA;NA;NA
"Female Steeder";"L";NA;NA;NA
"Fen Hydra";"L";NA;NA;NA
"Fen Witch";"M";NA;NA;NA
"Fennec Fox";"T";NA;NA;NA
"Feral";"M";NA;NA;NA
"Feral Undead Cat";"S";NA;NA;NA
"Feral Wight";"M";NA;NA;NA
"Feral Yowler";"M";NA;NA;NA
"Feral Zombie";"M";NA;NA;NA
"Fern Lizard";"S";NA;NA;NA
"Ferrolith";"M";NA;NA;NA
"Festering Tick";"T";NA;NA;NA
"Fetch";"M";NA;NA;NA
"Fext";"M";NA;NA;NA
"Fey Drake";"S";NA;NA;NA
"Fey Revenant";"L";NA;NA;NA
"Fey Spirit";"S";NA;NA;NA
"Feyote";"M";NA;NA;NA
"Feyr";"L";NA;NA;NA
"Feysworn";"M";NA;NA;NA
"Feyward Tree";"H";NA;NA;NA
"Fianna";"M";NA;NA;NA
"Fiddler Crab";"T";NA;NA;NA
"Fidele Angel";"M";NA;NA;NA
"Fidelio";"";NA;NA;NA
"Fiendish Flesh Golem";"L";NA;NA;NA
"Fiendish Grimjaw";"L";NA;NA;NA
"Fiendish Hyena";"L";NA;NA;NA
"Fiendish Owlbear";"L";NA;NA;NA
"Fiendish Spirit";"L";NA;NA;NA
"Fierna";"L";NA;NA;NA
"Fierstjerren";"M";NA;NA;NA
"Fighter Adventurer";"M";NA;NA;NA
"Fighter Hero";"M";NA;NA;NA
"Fighter Initiate";"M";NA;NA;NA
"Fighter Legend";"M";NA;NA;NA
"Fihyr";"S";NA;NA;NA
"Filiodon";"T";NA;NA;NA
"Filnen Gustanov";"M";NA;NA;NA
"Filth Imp";"T";NA;NA;NA
"Fire-Infused Water Elemental";"H";NA;NA;NA
"Fire Bender";"M";NA;NA;NA
"Fire Dancer Swarm";"M";NA;NA;NA
"Fire Demon";"L";NA;NA;NA
"Fire Drake";"S";NA;NA;NA
"Fire Elemental";"L";"3b0ef930-6fdb-4272-86c9-77cead4fcf8a";"";"TRUE"
"Fire Elemental Myrmidon";"M";NA;NA;NA
"Fire Elemental, Huge";"H";"3b0ef930-6fdb-4272-86c9-77cead4fcf8a";"";"TRUE"
"Fire Elemental, Medium";"H";"3b0ef930-6fdb-4272-86c9-77cead4fcf8a";"";"TRUE"
"Fire Giant";"H";"3e7e0570-19ad-4b7a-a137-ba3ad960b951";"";"TRUE"
"Fire Giant Artillerist";"H";NA;NA;NA
"Fire Giant Blackguard of Surtur";"H";NA;NA;NA
"Fire Giant Captain";"H";NA;NA;NA
"Fire Giant Chain Brute";"H";NA;NA;NA
"Fire Giant Champion of Surtur";"H";NA;NA;NA
"Fire Giant Doomblade";"H";NA;NA;NA
"Fire Giant Dreadnought";"H";NA;NA;NA
"Fire Giant Duke";"H";NA;NA;NA
"Fire Giant Flamecaller";"H";NA;NA;NA
"Fire Giant Forgecaller";"H";NA;NA;NA
"Fire Giant Houndmaster";"H";NA;NA;NA
"Fire Giant Juggernaut";"H";NA;NA;NA
"Fire Giant Skeleton";"H";NA;NA;NA
"Fire Giant Vanguard";"H";NA;NA;NA
"Fire Giant War Mage";"H";NA;NA;NA
"Fire Giant Warlock of Imix";"H";NA;NA;NA
"Fire Giant Zombie";"H";NA;NA;NA
"Fire Imp";"T";NA;NA;NA
"Fire Mephit";"S";NA;NA;NA
"Fire Salamander";"L";NA;NA;NA
"Fire Slug";"T";NA;NA;NA
"Fire Snake";"M";NA;NA;NA
"Fire Spirit, American Indian Avatar";"M";NA;NA;NA
"Fire Wolf";"M";NA;NA;NA
"Firebird";"S";NA;NA;NA
"Firefist";"M";NA;NA;NA
"Firegeist";"S";NA;NA;NA
"Firemane Angel";"M";NA;NA;NA
"Firenewt War Priest of Imix";"M";NA;NA;NA
"Firenewt Warlock of Imix";"M";NA;NA;NA
"Firenewt Warrior";"M";NA;NA;NA
"Firenewt Zealot";"M";NA;NA;NA
"Firewrack Dragon";"H";NA;NA;NA
"First-Year Student";"S M";NA;NA;NA
"Fist of Bane";"M";NA;NA;NA
"Five Spire Initiate";"M";NA;NA;NA
"Flab Giant";"L";NA;NA;NA
"Flabbergast";"M";NA;NA;NA
"Flabule";"M";NA;NA;NA
"Flagellant";"M";NA;NA;NA
"Flagstone Golem";"L";NA;NA;NA
"Flail Snail";"L";NA;NA;NA
"Flail Snail Gargant";"H";NA;NA;NA
"Flailing Dreadnaught";"H";NA;NA;NA
"Flame-scourged Scion";"H";NA;NA;NA
"Flame Dragon Wyrmling";"M";NA;NA;NA
"Flame Eater Swarm";"M";NA;NA;NA
"Flame Hydra";"H";NA;NA;NA
"Flame Salamander";"H";NA;NA;NA
"Flameskull";"T";NA;NA;NA
"Flameskull, Eldritch";"T";NA;NA;NA
"Flameskull, Greater";"T";NA;NA;NA
"Flamewrath";"M";NA;NA;NA
"Flay Beast";"M";NA;NA;NA
"Flayed Giant";"H";NA;NA;NA
"Flayed Wraith";"M";NA;NA;NA
"Fleder";"M";NA;NA;NA
"Fleecemane Lion";"L";NA;NA;NA
"Flesh Corruptor";"M";NA;NA;NA
"Flesh Crawler";"M";NA;NA;NA
"Flesh Golem";"M";NA;NA;NA
"Flesh Golem Abomination";"L";NA;NA;NA
"Flesh Mound";"L";NA;NA;NA
"Flesh Reaver";"M";NA;NA;NA
"Flesh Sculptor";"M";NA;NA;NA
"Fleshdreg";"H";NA;NA;NA
"Fleshpod Hornet";"L";NA;NA;NA
"Fleshspurned";"M";NA;NA;NA
"Fleshtearer";"H";NA;NA;NA
"Flimp Shagglecran";"S";NA;NA;NA
"Flind";"M";NA;NA;NA
"Flind Captain";"M";NA;NA;NA
"Flind Queen";"M";NA;NA;NA
"Flithidir";"S";NA;NA;NA
"Flitterstep Eidolon";"M";NA;NA;NA
"Floating Mantle";"M";NA;NA;NA
"Floating Mantle Bluestings";"L";NA;NA;NA
"Floating Mantle Polyp Swarm";"M";NA;NA;NA
"Flowershroud";"L";NA;NA;NA
"Flumph";"S";"c5594343-078a-2848-08d6-0c12281379cd";"https://talespire.thunderstore.io/package/isopropanol/MonsterF/";"FALSE"
"Flumph Infiltrator";"S";NA;NA;NA
"Flutterflesh";"L";NA;NA;NA
"Flux Blastseeker";"M";NA;NA;NA
"Fluxcharger";"L";NA;NA;NA
"Flying Ape";"L";NA;NA;NA
"Flying Caltrop";"T";NA;NA;NA
"Flying Dagger";"T";NA;NA;NA
"Flying Horror";"M";NA;NA;NA
"Flying Monkey";"S";NA;NA;NA
"Flying Polyp";"H";NA;NA;NA
"Flying Rocking Horse";"M";NA;NA;NA
"Flying Shield";"S";NA;NA;NA
"Flying Snake";"T";"624923b1-8a61-8675-31bd-72eff523672e";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Waterdeep_Dragon_Heist/";"TRUE"
"Flying Staff";"S";NA;NA;NA
"Flying Sword";"S";"9aaa47b1-2cd5-9a66-19b7-3fbbdfef80d8";"https://talespire.thunderstore.io/package/KaneOfMars/Misc_Contructs_Mini_Pack/";"TRUE"
"Flytrap Anemone (Large)";"L";NA;NA;NA
"Flytrap Anemone (Medium)";"M";NA;NA;NA
"Flytrap Anemone (Small)";"S";NA;NA;NA
"Flytrap Anemone (Tiny)";"T";NA;NA;NA
"Foamer Slitherin";"M";NA;NA;NA
"Foe Hunter";"M";NA;NA;NA
"Fog Giant";"H";NA;NA;NA
"Foglet";"L";NA;NA;NA
"Folk of Leng";"M";NA;NA;NA
"Fomorian";"H";NA;NA;NA
"Fomorian Berserker";"H";NA;NA;NA
"Fomorian Cursemonger";"H";NA;NA;NA
"Fomorian Shaman";"H";NA;NA;NA
"Foo Dog";"M";NA;NA;NA
"Forest   Jungle Troll";"M";NA;NA;NA
"Forest Drake";"S";NA;NA;NA
"Forest Emperor";"H";NA;NA;NA
"Forest Falcon";"M";NA;NA;NA
"Forest Marauder";"L";NA;NA;NA
"Forester's Bane";"L";NA;NA;NA
"Forge Priest";"M";NA;NA;NA
"Forge Wight";"T";NA;NA;NA
"Forlarren";"M";NA;NA;NA
"Formian Myrmarch";"L";NA;NA;NA
"Formian Queen";"L";NA;NA;NA
"Formian Taskmaster";"M";NA;NA;NA
"Formian Warrior";"M";NA;NA;NA
